Section ID,Section,HS2 ID,HS2,PCI,Australia' Exports,United States' Exports
14,Precious Metals,71,"Precious stones, metals, & pearls",-0.49956973768437496,4483028206,710428723
1,Animal Products,02,Meat & edible offal,-0.16157167200666664,2345769918,256149405
6,Chemical Products,30,Pharmaceutical products,0.40474828400869567,1167280583,1924833501
18,Instruments,90,"Optical, photo, & film equipment; medical instruments",0.8822233101240388,685671206,2385793867
16,Machines,84,"Machinery, mechanical appliances, & parts",0.7031113620876791,557973014,4890174379
17,Transportation,88,Aircraft and Spacecraft,-0.01883986264545455,436391710,1870025699.0000002
4,Foodstuffs,22,"Beverages, spirits, & vinegar",-0.7335663911333333,392057117.00000006,205395104
15,Metals,72,Iron & steel,0.2116322242813559,327699674,33797645
16,Machines,85,Electrical machinery and electronics,0.4855528808489796,288872906,2073243400
15,Metals,76,Aluminum articles,-0.06191179448461537,185724848,61998558
2,Vegetable Products,11,Products of the milling industry,-0.5432168336000001,156280187,24966394
15,Metals,75,Nickel articles,0.4219171571545454,137793434,14166602
10,Paper Goods,48,Paper articles,0.12927807617368414,128411077,118442178
5,Mineral Products,26,"Ores, slag and ash",-1.537957738971429,124302811,132135706
17,Transportation,87,"Cars, tractors, trucks & parts thereof.",0.5391177037029412,121132308,2766632201
6,Chemical Products,28,Inorganic chemicals,0.016726129111864406,97866073,202916413
6,Chemical Products,31,Fertilizers,-0.8455661396,97084521,124765844.99999999
17,Transportation,89,"Ships, boats, & floating structures",-0.6502261921642857,91704205,61306188.99999999
4,Foodstuffs,17,Sugars & confectioneries,-1.03700298364,85538611.99999999,25729830
6,Chemical Products,33,Perfumery & cosmetics,-0.019760425400000007,85224790,483433082
7,Plastics and Rubbers,39,Plastics & articles thereof,0.4977993659831775,80085796,543494530
1,Animal Products,05,"Animal originated products, n.e.s.",-0.7349887561499999,75001143,27840699
15,Metals,79,Zinc articles,-0.35361738535000004,71746766,2892795
1,Animal Products,03,"Fish, Crustaceans & Molluscs",-1.287947174955263,67902084,21493028
4,Foodstuffs,21,Miscellaneous edible preparations,-0.32469519583333334,64997388,262634152
15,Metals,73,Iron/Steel Articles,0.2798161377044945,62863653,314234118
15,Metals,74,Copper articles,0.03383569845714288,62083816,11691726
4,Foodstuffs,23,Food residues & wastes; animal fodder,-0.7507393157230771,51542701,172670471
6,Chemical Products,38,Chemical products n.e.s.,0.555976343463889,50843340,550187010
6,Chemical Products,35,"Glues, starches, & albuminoid products",0.40162592294999994,45060686,58030450
2,Vegetable Products,08,"Edible fruits, nuts & fruit peels",-1.3905711144742858,40362405,200582128
20,Miscellaneous,94,"Furniture, bedding, lamps, & prefab buildings",-0.032577267302857135,40303113,125814702
2,Vegetable Products,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",-1.0504388730117644,39203958,41177652
6,Chemical Products,32,"Paints, dyes, & varnishes",0.3969971121714286,39160217,99484760
6,Chemical Products,29,Organic chemicals,0.7881309824335568,36716752,180085771
3,Animal and Vegetable Bi-Products,15,"Animal or vegetable fats, oils, & waxes",-0.9160913703571429,34964869,34593764
15,Metals,78,Lead articles,-1.547114200475,31724443,224545
10,Paper Goods,49,"Books, newspapers, & other prints",0.28959686237999993,28942199,141415932
5,Mineral Products,25,"Salt, sulphur, cement, lime, stone, & plaster",-1.0629367131064513,28852274,20817509
15,Metals,83,Miscellaneous metal products,0.5432496155086955,28001973,64270314
4,Foodstuffs,20,"Preparations of vegetables, fruit, nuts or other plant parts",-0.7502172923827585,27470807,99490482
20,Miscellaneous,95,"Toys, games, & sports",-0.054137698770000006,26513424,145270793
15,Metals,81,Cermet articles,0.14077553111111107,25336215,21152322
6,Chemical Products,34,"Soap, cleaners, candles, dental, modelling pastes",0.15651205835000004,22350218,155384741
19,Weapons,93,Weapons,0.2671089337666666,22330874,198001791
1,Animal Products,04,"Edible products of animal origin, n.e.s.",-0.3321208730476191,22199980,139656123
4,Foodstuffs,16,"Preparations of fish, crustacenas, & molluscs",-0.6001362852000001,21458986,41458684
4,Foodstuffs,19,"Preparations of cereals, flour, starch or milk",-0.48948180270833336,18554851,62004832
11,Textiles,56,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",-0.27701142181,17896162,24949308
21,Arts and Antiques,97,Art & antiques,-0.482539166625,17880657,24874784
2,Vegetable Products,07,"Edible vegetables, roots, & tubers",-1.4066761740624998,17452091,16587735
13,Stone And Glass,70,Glass & glassware,0.48754354238125003,16300103,53221149
15,Metals,82,Tools & cutlery,0.7097253520055554,14571451,121747553
7,Plastics and Rubbers,40,Rubber & articles thereof,0.23152469702448986,14225354,543142412
12,Footwear and Headwear,64,Footwear,-1.0125148939285713,8873403,9163839
9,Wood Products,44,"Wood, wood articles, & charcoal",-0.636099679082857,7698861,89621787
11,Textiles,62,Non-knitted clothing accesories,-1.475382578166667,7103534,21965773
1,Animal Products,01,Live animals,-0.39246163484999996,5771831,7044797
11,Textiles,63,Used clothes & textile articles,-1.332846275581818,5594255,52427695
6,Chemical Products,36,"Explosives, matches, & fireworks",-0.8069659559,5034504,25101902
2,Vegetable Products,13,"Natural gums, resins & other vegetable extracts",-0.7872663088400002,4623446,10539112
11,Textiles,54,Man-made filaments,-0.04095258199130435,4542578,17912351
13,Stone And Glass,68,"Stone, plaster, cement, asbestos, mica.",0.0590143993777778,4477702,58498782.99999999
11,Textiles,51,Wool & animal hair,-0.8937042376800001,4474248,214435
11,Textiles,59,"Coated, covered, & laminated fabrics for industrial use",0.695975779690909,4448387,18968589
13,Stone And Glass,69,Ceramic products,-0.14550877051176472,4312584,9974691
